team1_member1,team1_member2,team1_member3,team1_member4,team1_member5,team2_member1,team2_member2,team2_member3,team2_member4,team2_member5,label
18,18,18,18,14,18,18,17,17,16,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,17,16,18,18,18,17,17,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,18,17,17,16,18,18,18,18,13,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,17,17,18,18,18,17,16,0
18,18,18,18,17,18,18,18,18,18,1
18,17,17,16,13,18,17,16,16,15,0
18,18,18,18,18,18,18,18,18,18,0
18,16,16,16,15,17,17,17,16,15,1
18,18,18,18,17,18,18,18,18,18,1
18,18,18,18,17,18,18,18,18,17,1
18,18,18,17,17,18,18,18,17,17,0
18,17,17,16,16,18,17,17,16,16,1
18,18,18,18,17,18,18,18,18,17,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,17,18,18,18,18,16,0
18,18,18,18,17,18,18,18,18,18,1
18,18,18,18,17,18,18,18,18,18,1
18,15,14,14,13,17,15,15,14,13,1
18,18,18,-1,-1,18,18,18,-1,-1,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,17,16,18,18,18,18,15,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,17,18,18,18,18,17,1
18,18,17,17,15,18,18,17,16,15,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,17,17,18,18,18,17,16,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,17,18,18,18,18,17,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,17,18,18,18,18,17,1
17,16,16,15,14,17,17,16,14,13,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,17,17,17,15,18,17,17,16,16,1
18,17,17,16,15,18,17,17,16,15,1
18,17,17,-1,-1,18,18,16,-1,-1,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,-1,-1,18,18,18,-1,-1,0
18,18,18,18,18,18,18,18,18,18,0
18,17,17,17,17,18,18,18,16,16,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,17,18,18,18,18,16,0
18,18,18,17,16,18,18,18,17,16,1
18,18,18,18,16,18,18,18,18,15,0
18,18,18,17,17,18,18,18,18,15,0
18,18,18,18,18,18,18,18,18,18,0
17,17,17,17,16,18,17,17,17,15,0
18,18,17,17,16,18,18,17,17,16,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
15,13,12,11,11,14,12,12,12,12,1
18,18,18,18,16,18,18,18,17,17,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,17,15,18,18,17,17,17,1
18,18,18,18,17,18,18,18,18,17,0
18,18,18,18,17,18,18,18,18,18,1
18,18,18,-1,-1,18,18,18,-1,-1,1
18,18,18,18,18,18,18,18,18,17,0
18,18,18,18,17,18,18,18,18,17,1
18,18,18,18,17,18,18,18,18,17,1
18,18,18,18,18,18,18,18,18,18,0
18,18,17,17,15,18,18,18,15,15,0
18,18,15,15,15,18,17,16,15,15,0
15,15,15,15,14,16,15,15,15,13,0
18,18,17,17,16,18,18,17,17,16,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,17,18,18,18,18,17,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
13,12,12,11,9,13,12,12,11,10,0
18,18,18,17,17,18,18,18,17,16,0
14,12,12,12,12,14,13,12,11,11,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,17,16,18,18,18,17,16,1
18,18,18,18,18,18,18,18,18,18,1
17,16,16,15,15,18,16,15,15,14,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,17,15,18,18,18,17,16,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
16,15,15,14,14,17,15,15,14,13,0
18,18,17,16,12,18,18,15,15,15,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,17,16,18,18,18,17,16,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,17,16,18,18,18,17,17,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,17,0
18,18,18,17,15,18,18,18,17,16,1
18,18,18,18,16,18,18,18,18,17,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,17,17,17,15,18,18,17,16,15,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,17,17,17,15,18,18,17,16,16,1
18,18,18,18,18,18,18,18,18,18,0
18,18,17,17,16,18,18,17,17,16,1
18,18,18,17,16,18,18,18,18,14,0
15,15,14,13,10,14,14,14,13,12,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,18,17,16,16,18,18,16,16,16,0
15,13,12,12,10,13,13,13,12,11,0
18,18,18,18,17,18,18,18,18,17,1
18,17,17,16,15,18,18,17,16,14,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,17,17,17,16,18,18,18,16,14,0
17,16,16,16,15,17,16,16,16,14,1
18,17,16,15,15,18,18,15,15,14,1
18,18,18,18,17,18,18,18,18,17,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,15,18,18,18,17,16,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
17,16,16,16,16,18,17,17,15,14,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,17,18,18,18,18,18,1
18,18,18,18,17,18,18,18,18,17,1
18,16,16,16,14,17,16,16,16,15,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,17,17,17,16,18,18,17,16,16,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,17,18,18,18,18,16,0
18,18,18,18,18,18,18,18,18,17,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,17,17,17,15,18,17,17,17,16,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,17,17,18,18,18,17,17,1
18,18,18,-1,-1,18,18,18,-1,-1,0
18,18,18,18,18,18,18,18,18,18,0
18,17,16,15,15,18,17,16,15,15,0
18,18,17,17,17,18,18,18,17,15,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,17,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,17,18,18,18,18,17,0
16,16,16,15,14,17,16,15,15,14,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,17,17,16,14,17,17,17,16,15,1
17,17,16,15,15,17,17,16,16,15,1
18,16,15,15,13,16,16,16,15,14,1
16,15,15,15,15,17,16,15,14,14,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,17,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,17,16,18,18,18,17,16,0
18,18,18,17,17,18,18,18,18,16,0
18,18,18,18,17,18,18,18,18,17,1
18,18,18,18,18,18,18,18,18,17,0
18,18,18,18,18,18,18,18,18,18,0
18,18,17,17,17,18,18,18,18,15,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,17,16,18,18,18,18,15,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,17,18,18,18,18,16,0
18,18,18,17,14,18,18,17,16,16,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,17,0
17,17,16,16,15,18,18,17,15,12,1
18,17,17,17,17,18,18,18,16,16,0
18,18,18,16,15,18,18,17,17,16,1
18,18,18,18,17,18,18,18,18,16,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,17,16,18,18,18,16,16,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,17,18,18,18,18,17,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
17,14,14,14,12,15,15,15,14,13,0
18,18,18,18,17,18,18,18,18,17,1
14,13,12,12,12,15,12,12,12,11,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,17,0
18,18,17,17,16,18,18,17,17,15,0
18,18,18,18,18,18,18,18,18,18,1
17,17,16,15,14,17,16,16,15,15,1
18,18,18,18,16,18,18,18,18,15,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,17,18,18,18,18,17,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,17,16,15,15,18,17,17,15,14,1
18,18,18,18,15,18,18,18,17,16,0
18,18,18,17,17,18,18,18,17,17,1
18,17,16,15,15,17,17,16,16,15,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,17,16,18,18,18,17,16,1
17,16,16,16,14,17,16,16,16,15,0
18,18,18,18,18,18,18,18,18,17,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,17,18,18,18,18,17,1
17,16,16,15,15,16,16,16,16,15,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,17,17,18,18,18,18,16,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,17,17,17,17,18,18,18,17,15,0
18,18,18,18,17,18,18,18,18,17,0
18,18,18,18,18,18,18,18,18,17,0
18,18,18,18,16,18,18,18,17,17,0
18,18,18,18,17,18,18,18,18,17,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,17,17,18,18,18,17,17,0
18,16,16,15,14,17,16,16,15,15,0
18,18,17,17,17,18,18,18,17,16,0
17,17,16,16,15,17,17,17,15,14,1
17,17,17,17,15,18,17,16,16,16,0
18,18,18,18,18,18,18,18,18,17,0
18,18,18,18,17,18,18,18,18,17,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
16,16,16,15,14,18,17,14,14,14,0
18,18,18,17,15,18,18,18,16,16,1
18,17,17,17,15,18,18,17,16,15,1
18,18,18,18,16,18,18,18,18,16,0
18,18,18,18,18,18,18,18,18,18,1
14,12,12,-1,-1,13,13,12,-1,-1,0
18,18,18,18,17,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,17,18,18,18,18,17,0
18,18,18,17,16,18,18,18,17,16,0
18,18,17,17,16,18,18,17,17,16,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,17,18,18,18,18,17,0
18,17,17,15,15,18,17,16,16,15,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,17,18,18,18,18,17,1
18,18,18,18,17,18,18,18,18,17,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,17,16,16,18,17,17,17,16,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,17,18,18,18,18,17,1
18,18,17,16,15,18,18,17,16,15,1
18,18,18,18,18,18,18,18,18,18,0
18,18,17,16,16,18,17,17,17,17,0
18,18,18,18,18,18,18,18,18,18,1
18,18,17,16,15,18,18,17,16,16,0
18,17,17,16,15,18,17,17,16,16,1
18,18,18,18,16,18,18,18,18,17,1
18,17,16,16,15,18,17,16,16,14,0
18,18,17,16,16,18,17,17,17,16,0
18,18,17,16,15,18,17,17,16,16,0
15,14,14,13,12,16,15,13,12,11,0
18,18,18,17,7,18,17,16,16,14,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,17,18,18,18,18,18,1
18,18,16,16,13,17,17,16,16,16,0
18,17,16,15,14,18,17,16,15,15,0
18,18,18,18,17,18,18,18,18,17,1
18,18,18,18,17,18,18,18,18,17,0
14,11,10,9,6,12,11,10,10,8,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,17,18,18,18,18,17,1
18,18,17,17,15,18,18,18,16,15,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,17,16,18,18,17,17,17,1
18,18,18,18,3,17,17,16,16,15,1
18,18,18,18,17,18,18,18,18,17,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,16,15,18,18,18,16,15,0
18,18,18,18,18,18,18,18,18,17,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,17,17,16,15,18,17,17,16,16,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
16,16,15,15,12,16,15,15,15,14,0
18,18,18,18,18,18,18,18,18,18,1
18,17,15,15,15,17,17,16,16,15,0
18,18,18,16,14,18,17,17,17,15,1
15,15,14,14,13,15,15,14,14,12,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,17,17,18,18,18,17,17,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
17,17,16,16,16,18,18,16,15,14,1
16,15,14,14,13,15,15,15,14,13,0
18,18,18,18,17,18,18,18,18,17,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,18,17,16,16,18,18,17,16,15,1
17,16,16,15,15,16,16,16,16,15,1
15,15,15,14,13,16,15,15,13,12,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,17,18,18,18,18,17,0
15,13,13,12,11,14,14,13,13,11,0
16,16,15,14,14,17,15,15,14,14,0
18,18,18,18,17,18,18,18,18,17,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,17,18,18,18,18,17,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,17,17,17,18,18,17,17,17,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,17,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,15,18,18,18,17,16,1
17,17,16,15,15,17,17,16,15,14,1
18,18,18,18,16,18,18,18,18,17,1
18,17,17,16,15,18,17,17,16,15,0
18,18,17,17,17,18,18,18,17,16,0
18,17,17,17,14,18,18,17,16,15,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,16,16,18,18,18,17,16,1
18,18,18,18,17,18,18,18,18,17,1
18,18,17,17,16,18,18,17,17,16,0
17,16,15,15,13,17,17,15,14,12,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,17,17,17,18,18,18,17,16,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,17,17,18,18,18,18,16,0
18,18,18,18,17,18,18,18,18,17,1
18,18,18,17,16,18,18,18,17,16,0
18,18,18,18,18,18,18,18,18,18,1
16,16,15,15,14,16,16,15,15,14,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,17,17,17,14,17,17,17,16,16,0
18,18,18,18,18,18,18,18,18,18,0
14,14,13,13,12,14,14,13,13,11,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,17,17,17,15,18,18,17,16,16,1
16,13,13,12,10,14,13,13,13,11,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,16,18,18,18,17,17,1
18,18,18,18,17,18,18,18,18,17,1
17,17,16,16,15,17,17,16,16,15,1
18,17,17,17,15,18,18,17,17,13,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
16,16,15,15,13,16,16,15,15,13,0
18,18,18,18,18,18,18,18,18,17,0
18,18,18,18,17,18,18,18,18,16,0
18,18,17,16,15,18,17,17,17,16,0
18,18,18,18,18,18,18,18,18,18,1
18,17,17,17,15,18,17,17,16,16,0
17,16,16,15,15,17,17,15,15,14,1
18,18,18,17,17,18,18,18,17,16,0
18,18,18,17,16,18,18,18,17,16,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,18,17,16,16,18,18,17,17,15,0
18,18,18,16,16,18,18,17,17,17,1
18,17,17,16,15,18,17,17,16,14,0
18,18,18,18,18,18,18,18,18,17,0
18,18,18,17,15,18,18,17,17,16,0
18,18,18,18,16,18,18,18,18,17,1
17,15,14,14,13,16,16,15,14,13,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,17,15,18,18,18,18,14,0
18,18,18,18,16,18,18,18,18,17,1
18,18,18,18,17,18,18,18,18,17,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,18,17,17,16,18,18,17,17,17,1
18,18,17,16,14,18,17,17,16,15,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
15,15,14,14,14,17,15,14,14,12,1
18,18,18,17,15,18,18,18,17,16,0
18,18,18,18,17,18,18,18,18,17,1
18,18,18,18,17,18,18,18,18,16,0
18,18,18,18,18,18,18,18,18,17,0
18,18,18,18,18,18,18,18,18,18,0
18,18,16,16,16,18,17,17,17,15,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,14,18,18,18,16,16,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,16,18,18,18,18,17,1
18,18,18,18,18,18,18,18,18,18,1
17,16,16,16,13,17,16,16,16,13,0
18,18,17,16,15,18,18,17,16,16,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,17,18,18,18,18,17,1
18,18,18,17,16,18,18,18,17,16,0
18,17,16,16,16,18,17,17,16,15,1
18,18,18,18,17,18,18,18,18,18,1
18,18,18,18,17,18,18,18,18,17,0
17,16,15,15,14,16,16,16,15,15,1
18,18,18,18,18,18,18,18,18,17,0
18,18,18,17,17,18,18,18,17,17,0
18,16,16,15,14,18,16,16,15,14,0
18,18,18,18,18,18,18,18,18,18,1
17,17,17,17,17,18,18,18,17,14,0
18,18,18,-1,-1,18,18,18,-1,-1,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,17,16,16,16,18,17,16,16,16,0
18,18,17,17,17,18,18,17,17,16,0
18,17,17,17,15,18,17,17,16,16,1
18,18,18,18,18,18,18,18,18,17,0
17,16,16,15,15,17,17,16,15,14,1
18,18,18,18,18,18,18,18,18,18,1
18,18,17,17,16,18,18,17,17,16,0
18,17,16,16,14,17,17,16,16,15,0
18,18,18,17,17,18,18,18,17,17,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,17,15,18,18,17,17,16,0
18,18,18,18,18,18,18,18,18,18,1
18,18,17,16,15,18,18,17,16,16,1
16,16,15,14,14,18,17,16,16,3,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,17,17,18,18,18,18,15,0
18,18,18,18,18,18,18,18,18,18,0
17,16,16,16,14,18,16,15,15,15,1
18,18,18,18,17,18,18,18,18,17,1
18,16,16,15,15,17,17,16,15,15,1
17,17,16,16,14,17,17,16,16,15,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,17,0
17,17,17,17,15,18,18,17,16,14,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,17,17,18,18,18,17,16,0
18,18,18,18,18,18,18,18,18,17,0
17,17,17,15,15,18,18,17,14,14,1
17,17,16,15,15,17,17,16,15,15,0
18,18,18,18,18,18,18,18,18,18,0
18,18,17,17,16,18,18,17,17,16,1
18,18,18,18,17,18,18,18,18,17,1
18,18,18,18,16,18,18,18,18,17,1
18,18,18,18,15,18,18,18,18,15,1
18,18,17,17,15,18,18,18,16,14,1
17,17,17,17,16,18,17,17,17,15,1
18,16,16,16,14,18,16,16,15,15,0
17,17,16,15,15,18,16,16,15,15,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,17,18,18,18,18,18,1
18,18,18,18,16,18,18,18,18,16,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,17,17,18,18,18,18,16,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
16,16,15,14,14,16,16,15,14,13,1
18,18,18,18,17,18,18,18,18,18,1
12,12,11,10,10,13,11,11,10,9,1
16,16,16,15,1,16,15,15,13,12,1
17,17,17,15,15,17,17,16,16,16,0
18,18,18,18,17,18,18,18,18,18,1
16,16,15,14,13,16,15,15,15,14,1
18,18,18,17,16,18,18,18,17,16,0
18,18,18,17,16,18,18,18,18,15,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,17,0
18,18,18,17,17,18,18,18,18,16,1
18,16,16,15,15,17,17,16,16,15,1
18,18,18,18,18,18,18,18,18,17,0
17,16,16,16,14,17,17,16,15,14,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,17,18,18,18,18,17,1
15,14,13,12,11,14,14,13,12,12,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
16,15,14,14,11,16,15,14,13,13,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,15,18,18,18,17,17,0
18,18,18,18,18,18,18,18,18,18,0
18,16,15,15,15,18,16,16,15,14,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,17,0
18,18,18,18,18,18,18,18,18,18,1
18,17,16,15,14,17,17,16,16,15,0
18,18,18,18,17,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,17,17,16,15,18,18,16,16,15,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,0
18,18,17,16,13,18,17,17,16,14,0
18,18,18,18,17,18,18,18,18,16,0
18,18,18,18,18,18,18,18,18,18,1
16,15,15,15,12,17,15,14,14,14,0
18,17,15,15,13,17,17,15,15,14,0
18,18,18,17,16,18,18,18,17,16,1
18,18,18,18,17,18,18,18,18,18,1
16,16,16,14,14,16,16,15,15,15,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,17,18,18,18,18,17,0
18,18,18,18,18,18,18,18,18,18,0
18,18,17,16,15,18,18,17,17,15,1
18,18,18,18,16,18,18,18,18,17,1
18,18,18,18,18,18,18,18,18,18,0
16,15,15,15,14,16,16,15,14,14,0
17,17,16,15,15,17,17,16,16,15,1
12,12,11,9,9,12,11,10,10,10,1
17,16,16,15,15,17,17,16,15,13,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,17,18,18,18,18,17,0
18,18,18,17,17,18,18,18,18,16,1
18,18,18,18,18,18,18,18,18,18,0
18,17,17,17,16,18,18,17,17,15,1
18,18,18,18,17,18,18,18,18,17,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,17,16,18,18,17,17,17,0
15,14,13,12,11,14,14,13,13,12,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,17,16,18,18,18,17,16,1
18,18,18,18,18,18,18,18,18,18,0
17,17,16,16,15,17,17,16,15,15,0
18,18,17,17,17,18,18,17,17,16,0
18,18,18,18,17,18,18,18,18,17,0
18,18,18,18,16,18,18,18,18,16,1
18,18,18,18,18,18,18,18,18,18,0
18,17,16,15,15,18,18,16,14,14,0
18,18,18,18,18,18,18,18,18,18,0
18,17,16,16,16,18,18,16,16,15,0
18,18,18,18,17,18,18,18,18,17,0
18,18,18,-1,-1,18,18,18,-1,-1,1
18,18,18,18,16,18,18,18,17,17,0
18,18,18,18,18,18,18,18,18,18,0
18,18,18,17,17,18,18,18,18,16,0
18,18,18,18,18,18,18,18,18,18,0
15,15,15,15,14,17,16,15,13,12,0
18,18,18,18,18,18,18,18,18,18,1
18,18,18,-1,-1,18,18,18,-1,-1,0
18,18,18,18,17,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,17,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,18,18,18,18,18,18,1
17,17,16,15,14,16,16,16,16,15,0
18,17,16,15,15,18,17,16,16,15,1
18,18,18,17,16,18,18,17,17,17,1
18,18,18,18,18,18,18,18,18,18,0
18,18,18,18,17,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
18,18,18,18,18,18,18,18,18,18,1
